PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
Big B Drugs ,Big B Drugs ,US Hwy 78,Adamsville,Crumpton Sprinkler,,,7/9/1986,2,,
Food Max,FoodMax,US Hwy 78,Adamsville,Crumpton Sprinkler,,,4/23/1986,2,,
"Food Max & Big ""B""","Foodmax & Big ""B""",US Hwy 78,Adamsville,Crumpton Sprinkler,,,4/19/1986,2,,
Food World,Food World,3980 Veterans Memorial Drive,Adamsville,Alabama Sprinkler,,,1/24/1997,1,,Now is a Super Dollar 
"House ""Fire Test""","House ""Fire Test""",Allen St & Peach Avenue ,Adamsville,Crumpton Sprinkler,,,8/1/1988,1,,
Alabama Hardwoods ,Alabama Hardwoods ,180 Airview Lane,Alabaster,TFP ,TC1215,TI-1316,4/24/2006,1,,
Alabaster Industries (Progressive Finishes Inc),Alabaster Industries ,501 Industrial Road,Alabaster,Quality Fire Protection Inc,,,7/13/1978,7,,
ALDI Inc ,ALDI Inc ,113 Simmsville Road,Alabaster,TFP ,TC1650,,5/15/2014,2,,
AP Technoglass,AP Technoglass,101 Total Solutions Way ,Alabaster,FPS ,,TI-1583,2/1/2004,1,,
Baptist Shelby  ,Baptist Shelby  ,1000 1st St N ,Alabaster,FPS ,,,8/1/2005,2,1,
Baptist Shelby Medical Center ,Baptist Shelby Medical Center ,1000 1st St N ,Alabaster,FPS ,,,6/3/2005,1,1,
Birmingham Tobacco ,Birmingham Tobacco ,100 Airview Lane ,Alabaster,FPS ,,TI-1455,9/1/2002,6,1,
Center for Shelby Office Bldg ,Center for Shelby Office Bldg ,,Alabaster,FPS ,,,10/1/2002,17,,
Food Max,FoodMax,509 Hwy 119,Alabaster,Crumpton Sprinkler,,,5/13/1985,2,,Now a Food Land 
Heartsouth Suite ,Heartsouth Suite ,1022 1st Street North,Alabaster,FPS ,,TI-1446,8/6/2007,1,,
